sgRNA	Gene	PlasmidLib	R1_2iSL	R1_High	R1_Negative	R1_Selected	R2_2iSL	R2_High	R2_Negative	R2_Selected
Son_p1_9	Son_p1	5456.6960890325345	6877.99069013246	6824.72186809647	5331.121300517558	5866.3725378871095	7800.763576290878	5783.655546063767	6951.912071516598	5311.933309419912
Pias1_p1_5	Pias1_p1	4884.404451785784	6750.803429614751	4270.064841241404	4596.2706971238795	6855.105792242494	6948.514799747288	3874.55907556221	3954.65277990982	7113.827115651893
Zfp866_p2_5	Zfp866_p2	4369.61942242456	5162.814914801404	4364.974699824255	3912.9224437116386	5265.443366389626	7926.169552418914	5592.500828863354	7022.944491616501	7650.121446657433
Klf16_p1_11	Klf16_p1	4606.329736023536	5104.778009516623	6953.025936180694	4804.7924068048205	5111.658988704596	5328.474332623887	7989.28689837622	4893.51607166506	6321.104132803087
Csde1_p1_12	Csde1_p1	4471.643207028487	7717.673575103748	6840.540177860278	5932.819486886057	6601.863039858993	4565.801253314608	3345.2075510072214	3621.1092420494056	4586.764111196482
Zfp574_p2_6	Zfp574_p2	6081.828227823223	8343.731255516164	8801.131793585648	7863.529533751158	8003.473916912232	9582.040298436039	9459.707799917856	10753.69072990706	9205.237141706917
Mllt10_p2_9	Mllt10_p2	810.1369496855717	1001.4453231054623	884.0677567995169	771.2790948439634	1205.2014816402923	1630.2776896644648	1972.8147095683612	1219.9046060635524	1057.423526687016
gRNA_2191	RE53	4797.387874064264	7106.433827955531	5887.926412084258	6236.808967264297	6738.095939656058	6441.772283964612	4579.13575755091	4294.373049952835	6751.242516540178
Pou5f1_p1_8	Pou5f1_p1	1984.3563049972713	913.7725512922838	219.69874671956185	580.3435534493666	1341.4343814373572	1760.8022770630328	169.0984036772881	3259.77040936729	1628.184074338156
Nfatc4_p1_1	Nfatc4_p1	2843.8026487250377	4733.094850139626	4007.305140164808	4383.98052281015	4858.416236321095	4906.188902804991	3392.9962303073244	4441.0704392895905	3885.031940292061
Pias2_p2_3	Pias2_p2	4847.832266946305	6255.6374930360935	6325.566315549625	6107.425014871906	5501.134640885162	7493.646900058953	9204.834843650639	4053.480494831424	6734.69873255029
Mbd3_p1_1	Mbd3_p1	3655.5790411792755	7034.813817178569	4844.796762659778	6553.359996418497	6105.406951027971	2902.252590391685	2895.5038252857375	3421.909629160547	3882.274642960413
Rlf_p1_12	Rlf_p1	2818.9587852306327	3447.6391394703464	2241.8060115264093	2887.9000635932766	3027.2120433433693	3122.3528750245637	2078.194874178845	2005.893776299436	2698.015439017588
