sgRNA	Gene	reporter	replicate	lfc	noRE	norm_lfc	zfc	pval	fdr
Klf4_p2_6	Klf4_p2	RE57M	R1	-0.12342177943423355	-0.1319869050000347	0.008565125565801163	-0.17976099669246037	0.725282975626543	1
Klf4_p2_6	Klf4_p2	RE97	R1	-0.21214418146485683	-0.1319869050000347	-0.08015727646482212	-0.03969569316254033	0.2337207926230079	1
Klf4_p2_6	Klf4_p2	RE93	R1	0.2711560219542181	-0.1319869050000347	0.4031429269542528	-0.7150901837955501	7.541989431307892e-5	0.007768249114247129
Klf4_p2_6	Klf4_p2	RE95	R1	0.15440273674524457	-0.1319869050000347	0.28638964174527926	-0.8924389512171741	0.6550473132500658	1
Klf4_p2_6	Klf4_p2	RE96	R1	-0.31278570462502897	-0.1319869050000347	-0.18079879962499426	0.10224345495066145	0.160434770485813	1
Klf4_p2_6	Klf4_p2	RE58	R1	0.07253773395351011	-0.1319869050000347	0.20452463895354484	-0.5725728205773798	0.3662705780609343	1
Klf4_p2_6	Klf4_p2	RE61	R1	0.23924762816801526	-0.1319869050000347	0.37123453316805	-1.1090082715958252	6.049782368292637e-4	0.05747293249878005
Klf4_p2_6	Klf4_p2	RE85	R1	0.3860646158461783	-0.1319869050000347	0.518051520846213	-0.9346411750957712	1.2033957564762915e-5	0.0012154297140410544
Klf4_p2_6	Klf4_p2	RE127	R1	-0.4948233416279638	-0.1319869050000347	-0.3628364366279291	0.5794563453396707	0.531451821496489	1
Klf4_p2_6	Klf4_p2	RE57L	R1	-0.6205329004587727	-0.1319869050000347	-0.488545995458738	0.14383275282776325	0.8525528830323146	1
Klf4_p2_6	Klf4_p2	RE57R	R1	-0.5089072258953766	-0.1319869050000347	-0.3769203208953419	0.37727099890218213	0.9835643237607683	1
Klf4_p2_6	Klf4_p2	RE57M	R2	-0.12082864845138974	-0.1319869050000347	0.011158256548644968	-0.16219301678854658	0.725282975626543	1
Klf4_p2_6	Klf4_p2	RE97	R2	-0.5901315541560083	-0.1319869050000347	-0.4581446491559735	0.49485825276013046	0.2337207926230079	1
Klf4_p2_6	Klf4_p2	RE93	R2	0.2530794766276832	-0.1319869050000347	0.3850663816277179	-0.8037860148138251	7.541989431307892e-5	0.007768249114247129
Klf4_p2_6	Klf4_p2	RE95	R2	-0.09377035484032427	-0.1319869050000347	0.03821655015971044	-0.3848847937355184	0.6550473132500658	1
Klf4_p2_6	Klf4_p2	RE96	R2	-0.13110177834418266	-0.1319869050000347	8.851266558520532e-4	-0.1939370718556858	0.160434770485813	1
Klf4_p2_6	Klf4_p2	RE58	R2	-0.3047649436862562	-0.1319869050000347	-0.17277803868622146	0.2010768455842219	0.3662705780609343	1
Klf4_p2_6	Klf4_p2	RE61	R2	0.4891105476664216	-0.1319869050000347	0.6210974526664563	-1.038013326016914	6.049782368292637e-4	0.05747293249878005
Klf4_p2_6	Klf4_p2	RE85	R2	-0.2945627068092534	-0.1319869050000347	-0.16257580180921868	-0.09922258500427002	1.2033957564762915e-5	0.0012154297140410544
Klf4_p2_6	Klf4_p2	RE127	R2	-0.15401798140315545	-0.1319869050000347	-0.022031076403120742	-0.30536677692713304	0.531451821496489	1
Klf4_p2_6	Klf4_p2	RE57L	R2	0.10830008040915871	-0.1319869050000347	0.2402869854091934	-0.40216285820526954	0.8525528830323146	1
Klf4_p2_6	Klf4_p2	RE57R	R2	-0.4077222327333317	-0.1319869050000347	-0.275735327733297	0.4268047434056814	0.9835643237607683	1
Klf4_p2_6	Klf4_p2	RE57M	R3	-0.4340711081291022	-0.1319869050000347	-0.3020842031290675	0.17845333009490602	0.725282975626543	1
Klf4_p2_6	Klf4_p2	RE97	R3	-0.6533270654301689	-0.1319869050000347	-0.5213401604301342	0.7982369549111258	0.2337207926230079	1
Klf4_p2_6	Klf4_p2	RE93	R3	0.15109123539288274	-0.1319869050000347	0.28307814039291745	-0.6534963395282785	7.541989431307892e-5	0.007768249114247129
Klf4_p2_6	Klf4_p2	RE95	R3	-0.4966409472999809	-0.1319869050000347	-0.36465404229994614	0.7899658884131144	0.6550473132500658	1
Klf4_p2_6	Klf4_p2	RE96	R3	0.5700745191948305	-0.1319869050000347	0.7020614241948653	-1.2487061914689066	0.160434770485813	1
Klf4_p2_6	Klf4_p2	RE58	R3	-1.2178137183074154	-0.1319869050000347	-1.0858268133073807	0.9807113900299754	0.3662705780609343	1
Klf4_p2_6	Klf4_p2	RE61	R3	-0.17901570033643024	-0.1319869050000347	-0.047028795336395535	-0.08978359389639554	6.049782368292637e-4	0.05747293249878005
Klf4_p2_6	Klf4_p2	RE85	R3	-0.3326656984910199	-0.1319869050000347	-0.2006787934909852	0.027415758502833752	1.2033957564762915e-5	0.0012154297140410544
Klf4_p2_6	Klf4_p2	RE127	R3	0.4719194145896825	-0.1319869050000347	0.6039063195897172	-1.1080175660654368	0.531451821496489	1
Klf4_p2_6	Klf4_p2	RE57L	R3	0.19140111443181784	-0.1319869050000347	0.3233880194318526	-0.3356041375521089	0.8525528830323146	1
Klf4_p2_6	Klf4_p2	RE57R	R3	-0.21773596287579014	-0.1319869050000347	-0.08574905787575543	0.00615346587926454	0.9835643237607683	1
Yy1_p1_5	Yy1_p1	RE57M	R1	-2.179731815808629	-0.5400998998282515	-1.6396319159803774	2.0887776839653527	0.12837078559992174	1
Yy1_p1_5	Yy1_p1	RE97	R1	-1.6354425885224342	-0.5400998998282515	-1.0953426886941826	1.8456572116827332	0.0047408292499878605	0.4456379494988589
Yy1_p1_5	Yy1_p1	RE93	R1	-1.8657628433564286	-0.5400998998282515	-1.3256629435281773	2.510439122212353	0.6964525565923949	1
Yy1_p1_5	Yy1_p1	RE95	R1	-0.6916325799663999	-0.5400998998282515	-0.15153268013814847	0.1604944088205834	0.8243013152656212	1
Yy1_p1_5	Yy1_p1	RE96	R1	-3.0723689271936023	-0.5400998998282515	-2.5322690273653508	3.493527438411956	0.10988952868529937	1
Yy1_p1_5	Yy1_p1	RE58	R1	-2.127248357781011	-0.5400998998282515	-1.5871484579527593	1.8589416243949808	0.08714734448673433	1
Yy1_p1_5	Yy1_p1	RE61	R1	-2.433450363001062	-0.5400998998282515	-1.8933504631728106	2.790310406024645	0.0038725620174358327	0.34853058156922495
Yy1_p1_5	Yy1_p1	RE85	R1	-1.4917567685513355	-0.5400998998282515	-0.9516568687230841	0.850077204012011	0.03683530073020931	1
Yy1_p1_5	Yy1_p1	RE127	R1	0.32865099959568883	-0.5400998998282515	0.8687508994239403	-1.595354305825596	0.013232338729670083	1
Yy1_p1_5	Yy1_p1	RE57L	R1	-2.287401305828181	-0.5400998998282515	-1.7473014059999294	1.4777566268758173	0.5358027256453952	1
Yy1_p1_5	Yy1_p1	RE57R	R1	-2.688521838132789	-0.5400998998282515	-2.1484219383045375	3.443215742195824	0.7307885223569486	1
Yy1_p1_5	Yy1_p1	RE57M	R2	0.24064987982228586	-0.5400998998282515	0.7807497796505374	-1.2596533233249727	0.12837078559992174	1
Yy1_p1_5	Yy1_p1	RE97	R2	-3.0459607689052093	-0.5400998998282515	-2.5058608690769577	3.6021257838777037	0.0047408292499878605	0.4456379494988589
Yy1_p1_5	Yy1_p1	RE93	R2	-0.5704749637718539	-0.5400998998282515	-0.030375063943602454	-0.016875739458293123	0.6964525565923949	1
Yy1_p1_5	Yy1_p1	RE95	R2	-1.6517716150733739	-0.5400998998282515	-1.1116717152451225	1.8080159392974064	0.8243013152656212	1
Yy1_p1_5	Yy1_p1	RE96	R2	-2.313532811042644	-0.5400998998282515	-1.7734329112143925	3.1717164787589	0.10988952868529937	1
