sgRNA	Gene	replicate	reporter	H	L	lfc
Yy1_p1_5	Yy1_p1	R3	RE57M	114.61861253276489	356.72520811106233	-1.6378864089207035
Yy1_p1_5	Yy1_p1	R3	RE97	39.735366788600324	369.20913988990475	-3.215618745613111
Yy1_p1_5	Yy1_p1	R3	RE93	60.00391526133647	263.6991591854941	-2.135578721620941
Yy1_p1_5	Yy1_p1	R3	RE95	217.8722671211089	360.82956171449	-0.7278087374276945
Yy1_p1_5	Yy1_p1	R3	RE96	145.09176570557315	305.9533707198691	-1.0762938716006256
Yy1_p1_5	Yy1_p1	R3	RE58	113.69603041024992	357.84198032118735	-1.6540541936940911
Yy1_p1_5	Yy1_p1	R3	RE61	47.08195080242014	546.9902126529797	-3.5379890006906956
Yy1_p1_5	Yy1_p1	R3	RE85	88.6945030812728	225.53176350123877	-1.3463153517628
Yy1_p1_5	Yy1_p1	R3	RE127	128.50846045981467	201.03135290738393	-0.6455166811926779
Yy1_p1_5	Yy1_p1	R3	RE57L	141.1981078119837	723.6482248588601	-2.357485563629327
Yy1_p1_5	Yy1_p1	R3	RE57R	316.6927438758007	449.2943800498493	-0.5045637592995249
gRNA_2083	RE51	R1	noRE	662.7322306377789	384.15851485749533	0.7867085669228924
gRNA_2083	RE51	R1	RE57M	494.05424253396706	935.3017567776566	-0.9207486764332898
gRNA_2083	RE51	R1	RE97	693.4219926138255	492.3054799589207	0.4941712959703345
gRNA_2083	RE51	R1	RE93	440.7002368130258	435.6617661168972	0.016588786057587727
gRNA_2083	RE51	R1	RE95	444.03363625558495	613.881615486423	-0.46728250822078793
gRNA_2083	RE51	R1	RE96	499.9240566052165	715.1608192999417	-0.5165500623515179
gRNA_2083	RE51	R1	RE58	683.4728964337305	593.5874905015173	0.20342024327167466
gRNA_2083	RE51	R1	RE61	421.18450592243545	483.7754373872881	-0.19988072493360043
gRNA_2083	RE51	R1	RE85	702.7430768675227	592.7841210573405	0.2454867251657442
gRNA_2083	RE51	R1	RE127	370.16167180612786	575.9047795156742	-0.6376608518768917
gRNA_2083	RE51	R1	RE57L	477.0868409544871	313.25572971253	0.6068951816710888
gRNA_2083	RE51	R1	RE57R	472.91477072262876	503.52379797548787	-0.09047790857207445
gRNA_2083	RE51	R2	noRE	935.6675991076003	683.1478434453202	0.45379256318851446
gRNA_2083	RE51	R2	RE57M	776.89968411276	387.3518316373647	1.0040650885909528
gRNA_2083	RE51	R2	RE97	485.686853428849	467.47109699685205	0.05514811038349171
gRNA_2083	RE51	R2	RE93	430.72432214094096	427.78899628704517	0.009865188602324678
gRNA_2083	RE51	R2	RE95	547.4100363628335	496.77835068790085	0.14001689654390304
gRNA_2083	RE51	R2	RE96	388.98904043341923	687.7003073919237	-0.8220343724110227
gRNA_2083	RE51	R2	RE58	602.4804105347257	410.4455751979555	0.5537121956777813
gRNA_2083	RE51	R2	RE61	813.1310590008919	616.1826537515688	0.400124161719175
gRNA_2083	RE51	R2	RE85	290.8617683911483	348.99252695901237	-0.26285420507070734
gRNA_2083	RE51	R2	RE127	539.5987696202469	611.4201868477231	-0.18027398622491347
gRNA_2083	RE51	R2	RE57L	630.7376461862299	250.4139614598241	1.332690306291958
gRNA_2083	RE51	R2	RE57R	579.186250684997	392.84082703112205	0.5600706658635947
gRNA_2083	RE51	R3	noRE	784.826115680226	449.9526929097545	0.802586040991823
gRNA_2083	RE51	R3	RE57M	602.2025515610346	484.8899535401865	0.3125856621127769
gRNA_2083	RE51	R3	RE97	686.6271381070136	509.17077461941113	0.43136994263172007
gRNA_2083	RE51	R3	RE93	655.4910467169447	582.8716171020831	0.1693951814712136
gRNA_2083	RE51	R3	RE95	622.4303138231282	475.9457035155924	0.3871081926015567
gRNA_2083	RE51	R3	RE96	655.5670633404251	1107.259817843336	-0.7561695338216092
gRNA_2083	RE51	R3	RE58	568.4801520512495	743.3956291520964	-0.38701425494879055
gRNA_2083	RE51	R3	RE61	423.2667377137571	676.7328800194438	-0.6770066002572162
gRNA_2083	RE51	R3	RE85	959.0093145662621	656.5326489652625	0.5466711397569316
gRNA_2083	RE51	R3	RE127	650.5740810778118	513.565925848418	0.34115794506470043
gRNA_2083	RE51	R3	RE57L	916.2360732195207	277.80732700090135	1.7215985296664682
gRNA_2083	RE51	R3	RE57R	243.40147818995268	635.100700771399	-1.383610877104212
Ubp1_p2_7	Ubp1_p2	R1	noRE	1010.5297235757868	643.547597539052	0.6509848555149221
Ubp1_p2_7	Ubp1_p2	R1	RE57M	782.950367405524	653.8316356157286	0.25999803312424086
Ubp1_p2_7	Ubp1_p2	R1	RE97	311.02015845178937	389.972318394426	-0.3263542390398134
Ubp1_p2_7	Ubp1_p2	R1	RE93	439.60396756722224	609.5221460985824	-0.4714650842829847
