count	Med	sgRNA	rep	cell	xist_ex
2i_sgNT_R2	2i	sgNT	2	12	0
2i_sgNT_R2	2i	sgNT	2	13	0
2i_sgNT_R2	2i	sgNT	2	14	0
2i_sgNT_R2	2i	sgNT	2	15	0
2i_sgNT_R2	2i	sgNT	2	16	0
2i_sgNT_R2	2i	sgNT	2	17	0
2i_sgNT_R2	2i	sgNT	2	18	0
2i_sgNT_R2	2i	sgNT	2	19	0
2i_sgNT_R2	2i	sgNT	2	20	0
2i_sgNT_R2	2i	sgNT	2	21	0
2i_sgNT_R2	2i	sgNT	2	22	0
2i_sgNT_R2	2i	sgNT	2	23	0
2i_sgNT_R2	2i	sgNT	2	24	0
2i_sgNT_R2	2i	sgNT	2	25	0
2i_sgNT_R2	2i	sgNT	2	26	0
2i_sgNT_R2	2i	sgNT	2	27	0
2i_sgNT_R2	2i	sgNT	2	28	0
2i_sgNT_R2	2i	sgNT	2	29	0
2i_sgNT_R2	2i	sgNT	2	30	0
2i_sgNT_R2	2i	sgNT	2	31	0
2i_sgNT_R2	2i	sgNT	2	32	0
2i_sgNT_R2	2i	sgNT	2	33	0
2i_sgNT_R2	2i	sgNT	2	34	0
2i_sgNT_R2	2i	sgNT	2	35	0
2i_sgNT_R2	2i	sgNT	2	36	0
2i_sgNT_R2	2i	sgNT	2	37	0
2i_sgNT_R2	2i	sgNT	2	38	0
2i_sgNT_R2	2i	sgNT	2	39	0
2i_sgNT_R2	2i	sgNT	2	40	0
2i_sgNT_R2	2i	sgNT	2	41	0
2i_sgNT_R2	2i	sgNT	2	42	0
2i_sgNT_R2	2i	sgNT	2	43	0
2i_sgNT_R2	2i	sgNT	2	44	0
2i_sgNT_R2	2i	sgNT	2	45	0
2i_sgNT_R2	2i	sgNT	2	46	0
2i_sgNT_R2	2i	sgNT	2	47	0
2i_sgNT_R2	2i	sgNT	2	48	0
2i_sgNT_R2	2i	sgNT	2	49	0
2i_sgNT_R2	2i	sgNT	2	50	0
2i_sgNT_R2	2i	sgNT	2	51	0
2i_sgNT_R2	2i	sgNT	2	52	0
2i_sgNT_R2	2i	sgNT	2	53	0
2i_sgNT_R2	2i	sgNT	2	54	0
2i_sgNT_R2	2i	sgNT	2	55	0
2i_sgNT_R2	2i	sgNT	2	56	0
2i_sgNT_R2	2i	sgNT	2	57	0
2i_sgNT_R2	2i	sgNT	2	58	0
2i_sgNT_R2	2i	sgNT	2	59	0
2i_sgNT_R2	2i	sgNT	2	60	0
2i_sgNT_R2	2i	sgNT	2	61	0
2i_sgNT_R2	2i	sgNT	2	62	0
2i_sgNT_R2	2i	sgNT	2	63	0
2i_sgNT_R2	2i	sgNT	2	64	0
2i_sgNT_R2	2i	sgNT	2	65	0
2i_sgNT_R2	2i	sgNT	2	66	0
2i_sgNT_R2	2i	sgNT	2	67	0
2i_sgNT_R2	2i	sgNT	2	68	0
2i_sgNT_R2	2i	sgNT	2	69	0
2i_sgNT_R2	2i	sgNT	2	70	0
2i_sgNT_R2	2i	sgNT	2	71	0
2i_sgNT_R2	2i	sgNT	2	72	0
2i_sgNT_R2	2i	sgNT	2	73	0
