cell	stage	embryo	run	sex
E6.5_cell47_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell48_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell52_embryo1_double	E6.5	embryo1	NA	XX
E6.5_cell53_embryo1_single	E6.5	embryo1	NA	XX
E6.5_cell58_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell59_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell60_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell63_embryo1_single	E6.5	embryo1	NA	XX
E6.5_cell68_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell70_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell71_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell72_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell80_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell82_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell83_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell84_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell85_embryo1_single	E6.5	embryo1	NA	XX
E6.5_cell91_embryo2_double	E6.5	embryo2	NA	XX
E6.5_cell94_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell95_embryo2_single	E6.5	embryo2	NA	XX
E6.5_cell96_embryo2_single	E6.5	embryo2	NA	XX
E6.75_cell10_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell12_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell13_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell14_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell15_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell16_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell17_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell18_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell19_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell1_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell20_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell21_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell22_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell23_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell24_Embryo1_Double	E6.75	embryo1	NA	XY
E6.75_cell25_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell26_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell27_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell28_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell29_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell2_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell30_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell31_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell33_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell35_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell36_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell37_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell38_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell39_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell3_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell40_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell41_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell42_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell43_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell44_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell45_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell46_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell47_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell48_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell49_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell4_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell50_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell51_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell52_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell53_Embryo1_Double	E6.75	embryo1	NA	XY
E6.75_cell54_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell55_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell56_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell58_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell59_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell5_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell60_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell62_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell63_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell64_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell6_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell70_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell71_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell72_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell74_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell75_Embryo2_Single	E6.75	embryo2	NA	XY
