cell	stage	embryo	run	sex
E4.5_P2_Cell93_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell94_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell95_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell9_embryo5_single	E4.5	embryo5	P2	XX
E5.5_P11.P6.P10_cell100_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell101_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell102_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell103_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell104_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell105_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell107_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell108_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell109_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell110_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell111_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell112_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell113_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell114_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell116_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell119_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell120_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell121_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell123_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell124_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell125_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell126_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell127_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell128_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell129_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell130_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell131_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell132_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell133_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell134_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell135_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell136_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell137_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell138_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell139_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell140_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell141_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell142_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell143_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell144_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell15_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell17_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell22_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell25_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell26_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell27_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell2_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell32_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell33_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell34_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell36_embryo7_VE	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell37_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell40_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell44_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell46_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell49_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell52_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell53_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell54_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell55_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell56_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell57_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell58_embryo7_double	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell5_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell60_embryo7_VE	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell61_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell62_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell64_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell65_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell66_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell67_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell68_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell6_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell70_embryo7_double	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell72_embryo7_VE	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell73_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell74_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell76_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell77_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell78_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell79_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell80_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell82_embryo7_double	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell84_embryo7_VE	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell85_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell89_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell92_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell93_embryo7_single	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell94_embryo7_double	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell96_embryo7_VE	E5.5	embryo7	P11.P6.P10	XX
E5.5_P11.P6.P10_cell97_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell98_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P11.P6.P10_cell99_embryo8_single	E5.5	embryo8	P11.P6.P10	XX
E5.5_P1_cell10_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell11_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell14_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell15_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell16_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell17_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell19_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell1_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell20_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell21_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell22_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell23_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell24_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell25_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell26_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell27_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell2_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell30_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell32_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell33_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell34_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell35_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell36_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell37_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell38_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell39_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell3_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell40_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell41_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell42_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell43_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell44_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell45_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell46_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell47_embryo9_double	E5.5	embryo9	P1	XY
E5.5_P1_cell5_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell7_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell8_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P1_cell9_embryo9_single	E5.5	embryo9	P1	XY
E5.5_P2.P3_cell100_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell101_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell108_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell10_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell110_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell111_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell112_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell115_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell117_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell119_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell120_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell121_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell123_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell125_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell126_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell127_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell128_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell129_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell130_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell131_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell132_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell133_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell134_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell135_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell136_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell137_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell139_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell13_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell140_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell141_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell142_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell143_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell144_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell145_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell146_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell147_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell148_embryo2_double	E5.5	embryo2	P2.P3	XX
E5.5_P2.P3_cell14_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell15_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell18_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell19_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell1_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell20_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell21_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell23_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell25_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell27_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell2_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell30_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell31_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell36_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell39_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell44_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell47_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell48_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell4_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell55_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell5_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell6_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell7_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell8_embryo1_single	E5.5	embryo1	P2.P3	XY
E5.5_P2.P3_cell99_embryo2_single	E5.5	embryo2	P2.P3	XX
E5.5_P7.P4.P5_cell10_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell118_embryo5_single	E5.5	embryo5	P7.P4.P5	XY
E5.5_P7.P4.P5_cell11_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell125_embryo5_double	E5.5	embryo5	P7.P4.P5	XY
E5.5_P7.P4.P5_cell12_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell13_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell145_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell146_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell148_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell14_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell150_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell151_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell153_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell155_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell156_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell157_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell158_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell15_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell160_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell161_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell162_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell163_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell164_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell165_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell166_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell167_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell168_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell169_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell171_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell172_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell173_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell174_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell175_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell178_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell179_embryo6_single	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell180_embryo6_double	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell181_embryo6_double	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell182_embryo6_double	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell183_embryo6_double	E5.5	embryo6	P7.P4.P5	XX
E5.5_P7.P4.P5_cell20_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell21_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell22_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell23_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell26_embryo3_double	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell27_embryo3_double	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell28_embryo3_double	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell2_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell30_embryo3_double	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell32_embryo3_double	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell33_embryo3_double	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell34_embryo3_double	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell3_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell51_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell52_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell54_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell55_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell56_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell58_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell59_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell62_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell63_embryo4_single	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell65_embryo4_double	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell66_embryo4_double	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell68_embryo4_double	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell6_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell70_embryo4_double	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell71_embryo4_double	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell72_embryo4_double	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell73_embryo4_double	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell74_embryo4_double	E5.5	embryo4	P7.P4.P5	XY
E5.5_P7.P4.P5_cell7_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell8_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E5.5_P7.P4.P5_cell9_embryo3_single	E5.5	embryo3	P7.P4.P5	XX
E6.5_P1_Cell13_embryo1_double	E6.5	embryo1	P1	XY
E6.5_P1_Cell22_embryo2_single	E6.5	embryo2	P1	XY
E6.5_P1_Cell2_embryo1_single	E6.5	embryo1	P1	XY
E6.5_P1_Cell31_embryo2_single	E6.5	embryo2	P1	XY
E6.5_P1_Cell35_embryo2_single	E6.5	embryo2	P1	XY
E6.5_P1_Cell36_embryo2_single	E6.5	embryo2	P1	XY
E6.5_P1_Cell38_embryo2_single	E6.5	embryo2	P1	XY
E6.5_P1_Cell39_embryo2_single	E6.5	embryo2	P1	XY
E6.5_P1_Cell3_embryo1_single	E6.5	embryo1	P1	XY
E6.5_P1_Cell50_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell51_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell52_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell53_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell59_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell62_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell64_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell65_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell66_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell67_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell69_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell72_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell73_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell74_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell76_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell77_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell78_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell79_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell7_embryo1_single	E6.5	embryo1	P1	XY
E6.5_P1_Cell80_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell81_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell82_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell83_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell8_embryo1_single	E6.5	embryo1	P1	XY
E6.5_P1_Cell90_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell91_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell92_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P1_Cell93_embryo3_single	E6.5	embryo3	P1	XY
E6.5_P2_Cell_10_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_12_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_13_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_16_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_17_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_18_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_19_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_20_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_21_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_22_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_23_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_24_embryo4_single	E6.5	embryo4	P2	XY
E6.5_P2_Cell_25_embryo5_single	E6.5	embryo5	P2	XX
E6.5_P2_Cell_26_embryo5_single	E6.5	embryo5	P2	XX
E6.5_P2_Cell_28_embryo5_single	E6.5	embryo5	P2	XX
E6.5_P2_Cell_29_embryo5_single	E6.5	embryo5	P2	XX
E6.5_P2_Cell_30_embryo5_single	E6.5	embryo5	P2	XX
E6.5_P2_Cell_31_embryo5_single	E6.5	embryo5	P2	XX
E6.5_P2_Cell_32_embryo5_single	E6.5	embryo5	P2	XX
E6.5_P2_Cell_34_embryo5_single	E6.5	embryo5	P2	XX
E6.5_P2_Cell_36_embryo5_double	E6.5	embryo5	P2	XX
